iter	RMSE
0	9.040618847
1	8.73057886
2	8.450029082
3	8.200330926
4	7.975332603
5	7.775880843
6	7.610262963
7	7.451428176
8	7.308740909
9	7.182340631
10	7.054276973
11	6.943499032
12	6.838581913
13	6.746181048
14	6.670183181
15	6.591152146
16	6.515232761
17	6.458221844
18	6.401770646
19	6.3540215
20	6.295669876
21	6.246644715
22	6.209538779
23	6.165569289
24	6.130595799
25	6.101373038
26	6.070529996
27	6.045854972
28	6.014723085
29	5.995812555
30	5.97771305
31	5.960619037
32	5.941144152
33	5.92793427
34	5.912147
35	5.896165615
36	5.880040028
37	5.860658785
38	5.849727945
39	5.84101541
40	5.822703572
41	5.81201495
42	5.805038398
43	5.792102311
44	5.782307074
45	5.775701885
46	5.771242903
47	5.759146288
48	5.752706756
49	5.746087804
50	5.74237989
51	5.737073917
52	5.733923971
53	5.728023088
54	5.717859994
55	5.714335118
56	5.711855676
57	5.703090822
58	5.699862321
59	5.697168316
60	5.694930599
61	5.691941005
62	5.682048795
63	5.680295072
64	5.678378693
65	5.671924754
66	5.666723968
67	5.663026359
68	5.66046619
69	5.658107913
70	5.65665387
71	5.654317744
72	5.653315695
73	5.652414098
74	5.650121502
75	5.646461403
76	5.645723457
77	5.643435283
78	5.641992851
79	5.639362485
80	5.638704247
81	5.637180197
82	5.63617683
83	5.631970731
84	5.631095415
85	5.630454544
86	5.626442832
87	5.626130357
88	5.623342907
89	5.622789328
90	5.622176327
91	5.618221617
92	5.616519559
93	5.612687254
94	5.612237743
95	5.6100823
96	5.609357313
97	5.608920448
98	5.60842241
99	5.607325251
100	5.607223205
101	5.606726705
102	5.606061811
103	5.605678149
104	5.605114869
105	5.60385941
106	5.603247805
107	5.601978166
108	5.601333499
109	5.600746946
110	5.600304315
111	5.598398783
112	5.597280917
113	5.597064447
114	5.595628929
115	5.594544737
116	5.594334389
117	5.594060242
118	5.593504179
119	5.592088339
120	5.591751731
121	5.591083435
122	5.589765365
123	5.587112993
124	5.587089378
125	5.586262278
126	5.585462932
127	5.585099012
128	5.582458334
129	5.581121614
130	5.580212416
131	5.579700384
132	5.579365162
133	5.577586332
134	5.576899741
135	5.576724874
136	5.57623684
137	5.57580369
138	5.575351785
139	5.572763801
140	5.572167671
141	5.571822006
142	5.5709138
143	5.570059957
144	5.569569844
145	5.567451409
146	5.56541665
147	5.565001953
148	5.564627196
149	5.56390385
150	5.563375261
151	5.561861108
152	5.561241477
153	5.56073438
154	5.559257031
155	5.557270251
156	5.555400434
157	5.553802328
158	5.55302596
159	5.55048276
160	5.54966908
161	5.54859141
162	5.548007484
163	5.547726406
164	5.546375621
165	5.545879746
166	5.545658823
167	5.545128624
168	5.54361526
169	5.542950942
170	5.54235005
171	5.541836714
172	5.540725894
173	5.539698753
174	5.539342211
175	5.537816032
176	5.537090427
177	5.53597226
178	5.534890565
179	5.533612731
180	5.5328343
181	5.532359809
182	5.531110731
183	5.529293541
184	5.528869678
185	5.528663221
186	5.528457601
187	5.527994326
188	5.527310807
189	5.526843563
190	5.526663205
191	5.526385213
192	5.525768569
193	5.525343372
194	5.525132418
195	5.523919049
196	5.523484016
197	5.523082433
198	5.522725946
199	5.522336367
200	5.521743285
201	5.521441522
202	5.520918284
203	5.519443448
204	5.519153205
205	5.518731707
206	5.517401148
207	5.516746126
208	5.515927508
209	5.515113099
210	5.514116255
211	5.513149209
212	5.512896345
213	5.51253695
214	5.511747192
215	5.51130406
216	5.511144324
217	5.510770493
218	5.510305814
219	5.509482981
220	5.509262349
221	5.508885185
222	5.508679021
223	5.507976154
224	5.507088652
225	5.506383963
226	5.505217003
227	5.504587269
228	5.504394759
229	5.503307427
230	5.502855791
231	5.501949675
232	5.501428434
233	5.501036711
234	5.500170017
235	5.499656288
236	5.49934836
237	5.498855763
238	5.498490764
239	5.497654274
240	5.496820441
241	5.496293904
242	5.495857968
243	5.49521314
244	5.494620428
245	5.494060071
246	5.493707134
247	5.493037322
248	5.492464889
249	5.491450498
250	5.490889888
251	5.490170383
252	5.489778209
253	5.48960882
254	5.489301127
255	5.488984984
256	5.488571032
257	5.488301707
258	5.487138766
259	5.486567814
260	5.486262489
261	5.486013797
262	5.485405298
263	5.485035145
264	5.484826006
265	5.484051028
266	5.483411369
267	5.483044817
268	5.482872881
269	5.482758628
270	5.482381299
271	5.481858026
272	5.481630441
273	5.480787449
274	5.480667059
275	5.480415884
276	5.480056554
277	5.479561871
278	5.478320554
279	5.477767826
280	5.477454844
281	5.476751503
282	5.47601632
283	5.47581874
284	5.475540539
285	5.474471693
286	5.47431041
287	5.473731289
288	5.473635691
289	5.473352881
290	5.472720958
291	5.472584784
292	5.472031367
293	5.471634534
294	5.471233299
295	5.47092025
296	5.470458329
297	5.470326523
298	5.470147193
299	5.469683501
300	5.46876732
301	5.468279798
302	5.467987474
303	5.467655568
304	5.467080074
305	5.466663773
306	5.465941132
307	5.465391455
308	5.465131107
309	5.46483762
310	5.464483343
311	5.464163179
312	5.463854777
313	5.463605323
314	5.463191374
315	5.463005212
316	5.462720664
317	5.462382706
318	5.462219354
319	5.461926444
320	5.461634266
321	5.461491793
322	5.460859168
323	5.460360714
324	5.460157893
325	5.459719452
326	5.459554117
327	5.459327194
328	5.459125033
329	5.458736256
330	5.458443229
331	5.457859857
332	5.457339385
333	5.457048565
334	5.45681091
335	5.456362657
336	5.455484473
337	5.454899236
338	5.454530346
339	5.454224736
340	5.454061273
341	5.453422761
342	5.452841498
343	5.452225153
344	5.452086288
345	5.451438514
346	5.451292422
347	5.450860084
348	5.45042929
349	5.449922749
350	5.44969436
351	5.44956083
352	5.449094944
353	5.448649158
354	5.44817582
355	5.44766399
356	5.447124522
357	5.446982596
358	5.446311622
359	5.446164945
360	5.445943646
361	5.445692383
362	5.445257068
363	5.44451282
364	5.444036172
365	5.44344494
366	5.443142567
367	5.443011881
368	5.442602603
369	5.442349618
370	5.44177953
371	5.441390262
372	5.440868138
373	5.440388899
374	5.439905853
375	5.439704499
376	5.439439885
377	5.438629002
378	5.438198986
379	5.438005403
380	5.437794054
381	5.437258131
382	5.436781275
383	5.436538687
384	5.436194216
385	5.435966104
386	5.435700755
387	5.435286729
388	5.434793226
389	5.434374003
390	5.434154218
391	5.43375846
392	5.433482247
393	5.433298304
394	5.433043606
395	5.432537413
396	5.432381477
397	5.432111616
398	5.431991283
399	5.431432359
400	5.431374147
401	5.43085173
402	5.430151792
403	5.429593901
404	5.429159433
405	5.429062767
406	5.428606116
407	5.428354711
408	5.428188118
409	5.427683866
410	5.427298547
411	5.426672186
412	5.426266955
413	5.425664949
414	5.42504093
415	5.424924138
416	5.424525894
417	5.424028103
418	5.423814072
419	5.423673452
420	5.42321886
421	5.423095555
422	5.422814405
423	5.422596591
424	5.422163435
425	5.421809767
426	5.421528185
427	5.421337156
428	5.421091452
429	5.420764262
430	5.420206395
431	5.420110366
432	5.419755164
433	5.419651399
434	5.419498796
435	5.419147792
436	5.418900182
