iter	RMSE
0	9.050943926
1	8.7366135
2	8.447991463
3	8.194568617
4	7.975262678
5	7.771296095
6	7.585182871
7	7.422744166
8	7.270467625
9	7.140864414
10	7.027580455
11	6.917737482
12	6.811867576
13	6.721775058
14	6.63499389
15	6.559652333
16	6.494733657
17	6.431012833
18	6.381075154
19	6.332855113
20	6.289728895
21	6.243371378
22	6.208349159
23	6.16351439
24	6.131554831
25	6.100785337
26	6.068964319
27	6.044973451
28	6.011812174
29	5.99295788
30	5.973645214
31	5.951043287
32	5.935756533
33	5.922329198
34	5.908911972
35	5.892920618
36	5.877353105
37	5.858503143
38	5.8472783
39	5.83833483
40	5.825422636
41	5.811965488
42	5.804054779
43	5.797168675
44	5.790217472
45	5.782028751
46	5.777406171
47	5.762580255
48	5.756433551
49	5.750195108
50	5.74652333
51	5.739971894
52	5.734417875
53	5.728179137
54	5.716728101
55	5.712741166
56	5.710493736
57	5.7058167
58	5.701125791
59	5.698737072
60	5.697298405
61	5.695357815
62	5.686394907
63	5.684777825
64	5.683128339
65	5.676593538
66	5.670005431
67	5.666629603
68	5.665122502
69	5.662904459
70	5.66173061
71	5.661229278
72	5.660314192
73	5.659605519
74	5.655402196
75	5.651958036
76	5.650973286
77	5.650032027
78	5.64639893
79	5.645654486
80	5.644158297
81	5.643336911
82	5.642723148
83	5.641320039
84	5.640662971
85	5.637708771
86	5.634666498
87	5.629901261
88	5.62803618
89	5.627855956
90	5.625328318
91	5.623112802
92	5.619984711
93	5.619464823
94	5.615600456
95	5.615160708
96	5.61260786
97	5.611799268
98	5.610844223
99	5.610309339
100	5.609935012
101	5.608072538
102	5.607236389
103	5.605616
104	5.602073493
105	5.600726251
106	5.599939539
107	5.598719081
108	5.598104569
109	5.597687362
110	5.597394503
111	5.597254277
112	5.596998696
113	5.596814562
114	5.595891943
115	5.595178845
116	5.592873727
117	5.59229231
118	5.591233289
119	5.588477853
120	5.58793517
121	5.58713706
122	5.585412604
123	5.584529819
124	5.5813721
125	5.580639443
126	5.580280502
127	5.579245636
128	5.579089603
129	5.578678211
130	5.57819644
131	5.577693229
132	5.577326936
133	5.576414117
134	5.57563331
135	5.573170749
136	5.572430179
137	5.570763973
138	5.569797473
139	5.568264434
140	5.56653474
141	5.565725745
142	5.564950895
143	5.563469867
144	5.562379798
145	5.56205752
146	5.561544154
147	5.56065812
148	5.560042501
149	5.559697657
150	5.558170946
151	5.557392632
152	5.556474643
153	5.555554415
154	5.553079069
155	5.550886636
156	5.550193498
157	5.549764557
158	5.548500974
159	5.548025307
160	5.547688088
161	5.546658616
162	5.546322705
163	5.545416894
164	5.544933191
165	5.543123662
166	5.541287994
167	5.540856885
168	5.539259834
169	5.538684344
170	5.537760387
171	5.537141215
172	5.536285425
173	5.536020315
174	5.534281422
175	5.534015838
176	5.533011451
177	5.531942707
178	5.531162618
179	5.530713157
180	5.529349653
181	5.528251576
182	5.52768312
183	5.526989735
184	5.526783388
185	5.526374417
186	5.525106362
187	5.524178402
188	5.523233794
189	5.522648095
190	5.522263016
191	5.521633053
192	5.521438445
193	5.52102556
194	5.520032641
195	5.519636753
196	5.518995879
197	5.518189979
198	5.517015709
199	5.516600583
200	5.516322321
201	5.515390021
202	5.51474862
203	5.514370746
204	5.513981562
205	5.51357464
206	5.51279551
207	5.511810739
208	5.511025925
209	5.510079333
210	5.509328159
211	5.508658841
212	5.508403294
213	5.508028393
214	5.50787524
215	5.507232605
216	5.506711187
217	5.506350937
218	5.506026199
219	5.505809452
220	5.505391877
221	5.505071885
222	5.504779524
223	5.504585002
224	5.50397068
225	5.503528034
226	5.503080379
227	5.502484565
228	5.502035316
229	5.501742966
230	5.501511944
231	5.501210862
232	5.500716559
233	5.500215955
234	5.499304662
235	5.498688139
236	5.498005649
237	5.4975591
238	5.497293721
239	5.496810348
240	5.496455167
241	5.496281309
242	5.495494017
243	5.494944781
244	5.494395972
245	5.494244548
246	5.493792099
247	5.492860764
248	5.492412668
249	5.491674726
250	5.491232911
251	5.490486036
