iter	Passed	Remaining
0	15	15416
1	28	14469
2	40	13557
3	54	13471
4	68	13665
5	83	13909
6	96	13737
7	108	13507
8	120	13254
9	131	13018
10	143	12929
11	155	12837
12	167	12746
13	179	12635
14	190	12522
15	201	12393
16	213	12372
17	224	12261
18	235	12141
19	246	12073
20	256	11963
21	266	11859
22	277	11785
23	287	11701
24	298	11627
25	309	11594
26	319	11518
27	330	11458
28	340	11417
29	350	11320
30	361	11286
31	371	11223
32	381	11164
33	392	11144
34	401	11079
35	412	11039
36	423	11023
37	432	10954
38	443	10919
39	453	10890
40	463	10844
41	473	10811
42	483	10753
43	494	10738
44	505	10718
45	514	10676
46	525	10661
47	536	10645
48	548	10654
49	559	10634
50	571	10629
51	580	10584
52	591	10572
53	602	10546
54	612	10522
55	623	10503
56	632	10468
57	643	10453
58	653	10428
59	663	10387
60	672	10359
61	682	10327
62	692	10295
63	703	10285
64	712	10255
65	723	10233
66	733	10210
67	742	10175
68	753	10164
69	762	10133
70	773	10115
71	783	10092
72	793	10073
73	803	10056
74	813	10029
75	824	10020
76	836	10026
77	847	10013
78	856	9990
79	867	9971
80	876	9949
81	887	9935
82	898	9931
83	908	9909
84	919	9894
85	928	9868
86	938	9847
87	948	9832
88	958	9813
89	969	9799
90	979	9783
91	989	9766
92	1000	9760
93	1010	9742
94	1021	9732
95	1031	9716
96	1042	9701
97	1052	9689
98	1064	9684
99	1076	9688
100	1088	9690
101	1103	9713
102	1116	9722
103	1129	9730
104	1142	9740
105	1154	9736
106	1166	9739
107	1178	9732
108	1189	9719
109	1202	9728
110	1215	9734
111	1227	9734
112	1241	9741
113	1251	9728
114	1263	9723
115	1275	9717
116	1287	9713
117	1298	9708
118	1309	9697
119	1322	9699
120	1334	9693
121	1346	9691
122	1358	9683
123	1367	9662
124	1377	9641
125	1387	9624
126	1397	9607
127	1407	9589
128	1416	9567
129	1426	9545
130	1435	9523
131	1445	9504
132	1455	9487
133	1465	9470
134	1475	9454
135	1484	9433
136	1493	9410
137	1504	9396
138	1514	9380
139	1523	9360
140	1533	9341
141	1543	9323
142	1552	9305
143	1561	9283
144	1571	9268
145	1581	9252
146	1591	9235
147	1601	9220
148	1611	9205
149	1622	9193
150	1633	9184
151	1643	9169
152	1654	9157
153	1663	9139
154	1672	9120
155	1682	9101
156	1692	9086
157	1701	9068
158	1710	9049
159	1720	9031
160	1729	9013
161	1738	8994
162	1747	8975
163	1757	8957
164	1767	8943
165	1776	8926
166	1787	8914
167	1796	8898
168	1805	8880
169	1816	8870
170	1827	8857
171	1836	8841
172	1846	8825
173	1855	8809
174	1866	8797
175	1875	8782
176	1886	8770
177	1896	8756
178	1906	8743
179	1916	8731
180	1926	8715
181	1937	8706
182	1947	8695
183	1957	8679
184	1967	8668
185	1977	8654
186	1986	8638
187	1996	8625
188	2007	8612
189	2017	8599
190	2026	8585
191	2037	8575
192	2048	8565
193	2058	8552
194	2068	8539
195	2078	8527
196	2087	8509
197	2097	8497
198	2107	8483
199	2116	8467
200	2126	8451
201	2136	8441
202	2146	8427
203	2155	8410
204	2165	8396
205	2174	8380
206	2183	8364
207	2192	8348
208	2201	8333
209	2211	8319
210	2221	8306
211	2231	8293
212	2242	8284
213	2252	8273
214	2263	8264
215	2275	8257
216	2285	8248
217	2298	8243
218	2309	8235
219	2320	8228
220	2333	8224
221	2345	8220
222	2357	8214
223	2369	8209
224	2383	8208
225	2395	8203
226	2406	8193
227	2418	8189
228	2430	8181
229	2440	8171
230	2451	8162
231	2463	8153
232	2474	8144
233	2484	8132
234	2495	8124
235	2506	8115
236	2516	8100
237	2526	8088
238	2536	8077
239	2546	8063
240	2556	8050
241	2566	8038
242	2577	8030
243	2589	8022
244	2600	8014
245	2612	8007
246	2625	8003
247	2638	7999
248	2650	7992
249	2662	7986
250	2675	7984
251	2689	7981
252	2702	7979
253	2716	7977
254	2730	7977
255	2742	7971
256	2754	7962
257	2764	7951
258	2776	7943
259	2787	7934
260	2798	7923
261	2810	7916
262	2822	7908
263	2832	7896
264	2844	7890
265	2855	7879
266	2869	7877
267	2880	7867
268	2890	7853
269	2898	7837
270	2908	7823
271	2919	7813
272	2929	7800
273	2939	7788
274	2949	7775
275	2958	7761
276	2968	7747
277	2977	7733
278	2987	7721
279	2997	7707
280	3006	7692
281	3016	7679
282	3024	7663
283	3036	7654
284	3046	7641
285	3055	7628
286	3066	7619
287	3077	7607
288	3088	7597
289	3099	7588
290	3110	7577
291	3121	7569
292	3134	7563
293	3146	7555
294	3156	7543
295	3167	7533
296	3179	7526
297	3192	7521
298	3205	7514
299	3215	7502
300	3226	7493
301	3237	7482
302	3249	7474
303	3260	7463
304	3270	7452
305	3281	7443
306	3293	7434
307	3303	7421
308	3314	7412
309	3325	7402
310	3334	7387
311	3345	7377
312	3355	7363
313	3364	7350
314	3374	7337
315	3383	7323
316	3392	7309
317	3401	7294
318	3411	7282
319	3420	7268
320	3429	7254
321	3438	7239
322	3449	7229
323	3464	7227
324	3473	7214
325	3482	7200
326	3492	7187
327	3501	7172
328	3510	7160
329	3519	7145
330	3528	7132
331	3537	7118
332	3547	7105
333	3557	7092
334	3567	7080
335	3577	7069
336	3586	7056
337	3596	7043
338	3604	7028
339	3613	7014
340	3623	7002
341	3633	6989
342	3642	6976
343	3651	6963
344	3661	6951
345	3670	6938
346	3679	6924
347	3689	6912
348	3699	6900
349	3711	6891
350	3721	6881
351	3732	6871
352	3744	6863
353	3756	6855
354	3768	6847
355	3780	6838
356	3791	6828
357	3802	6818
358	3813	6808
359	3824	6798
360	3836	6791
361	3850	6786
362	3862	6777
363	3873	6768
364	3884	6758
365	3895	6747
366	3906	6737
367	3917	6727
368	3927	6715
369	3937	6704
370	3948	6694
371	3959	6684
372	3973	6678
373	3985	6670
374	3994	6657
375	4004	6645
376	4012	6631
377	4022	6618
378	4031	6605
379	4040	6592
380	4050	6580
381	4059	6566
382	4068	6553
383	4077	6540
384	4087	6529
385	4097	6517
386	4108	6507
387	4118	6496
388	4127	6483
389	4136	6470
390	4145	6456
391	4154	6443
392	4163	6430
393	4172	6417
394	4182	6406
395	4192	6394
396	4201	6381
397	4211	6370
398	4222	6359
399	4232	6349
400	4243	6339
401	4253	6327
402	4263	6316
403	4273	6303
404	4283	6292
405	4293	6281
406	4304	6271
407	4313	6258
408	4322	6246
409	4332	6234
410	4341	6221
411	4350	6209
412	4360	6196
413	4370	6186
414	4380	6174
415	4389	6161
416	4399	6151
417	4408	6138
418	4418	6126
419	4427	6114
420	4438	6103
421	4447	6092
422	4458	6081
423	4466	6068
424	4476	6056
425	4485	6043
426	4494	6030
427	4508	6025
428	4523	6020
429	4541	6020
430	4558	6018
431	4572	6011
432	4585	6004
433	4599	5997
434	4612	5991
435	4625	5983
436	4638	5975
437	4652	5969
438	4666	5962
439	4678	5954
440	4689	5944
441	4702	5936
442	4715	5929
443	4729	5922
444	4742	5915
445	4755	5907
446	4769	5900
447	4781	5891
448	4793	5882
449	4807	5875
450	4818	5864
451	4829	5855
452	4840	5844
453	4851	5834
454	4861	5822
455	4872	5812
456	4883	5802
457	4893	5791
458	4904	5780
459	4915	5770
460	4927	5760
461	4937	5749
462	4947	5738
463	4958	5727
464	4969	5717
465	4979	5706
466	4992	5697
467	5003	5687
468	5014	5677
469	5024	5666
470	5035	5655
471	5048	5646
472	5058	5636
473	5070	5626
474	5081	5616
475	5094	5608
476	5104	5596
477	5115	5585
478	5126	5575
479	5138	5566
480	5148	5555
481	5159	5544
482	5171	5535
483	5183	5526
484	5194	5515
485	5204	5504
486	5215	5494
487	5225	5482
488	5236	5472
489	5246	5461
490	5258	5450
491	5269	5440
492	5279	5429
493	5290	5419
494	5302	5410
495	5313	5399
496	5323	5387
497	5334	5377
498	5345	5366
499	5357	5357
500	5367	5346
501	5378	5335
502	5389	5325
503	5401	5315
504	5412	5305
505	5424	5296
506	5438	5288
507	5453	5281
508	5465	5272
509	5478	5264
510	5491	5255
511	5503	5245
512	5516	5237
513	5529	5228
514	5542	5219
515	5555	5210
516	5574	5207
517	5587	5198
518	5599	5189
519	5611	5179
520	5622	5169
521	5637	5162
522	5651	5154
523	5665	5146
524	5678	5137
525	5690	5128
526	5703	5118
527	5716	5109
528	5728	5100
529	5741	5091
530	5754	5082
531	5767	5073
532	5780	5064
533	5792	5055
534	5802	5043
535	5813	5032
536	5824	5021
537	5833	5009
538	5844	4999
539	5856	4988
540	5866	4977
541	5878	4967
542	5889	4956
543	5899	4944
544	5909	4933
545	5920	4922
546	5931	4911
547	5941	4900
548	5952	4890
549	5962	4878
550	5973	4867
551	5983	4856
552	5995	4846
553	6006	4835
554	6016	4824
555	6028	4814
556	6040	4804
557	6051	4793
558	6062	4782
559	6074	4772
560	6089	4764
561	6100	4754
562	6111	4743
563	6122	4733
564	6132	4721
565	6144	4711
566	6155	4701
567	6165	4689
568	6176	4678
569	6186	4667
570	6198	4656
571	6209	4645
572	6219	4635
573	6230	4623
574	6240	4612
575	6251	4601
576	6261	4590
577	6272	4579
578	6283	4568
579	6293	4557
580	6305	4547
581	6316	4536
582	6327	4525
583	6337	4514
584	6350	4505
585	6360	4493
586	6371	4482
587	6381	4471
588	6392	4460
589	6402	4449
590	6413	4438
591	6423	4427
592	6434	4416
593	6445	4405
594	6456	4395
595	6467	4383
596	6479	4374
597	6493	4364
598	6505	4355
599	6518	4345
600	6532	4336
601	6544	4326
602	6558	4317
603	6570	4307
604	6583	4298
605	6595	4288
606	6608	4278
607	6621	4269
608	6633	4258
609	6643	4247
610	6654	4236
611	6665	4225
612	6675	4214
613	6686	4203
614	6697	4192
615	6707	4181
616	6719	4171
617	6730	4160
618	6741	4149
619	6753	4139
620	6766	4129
621	6779	4120
622	6791	4109
623	6805	4100
624	6818	4091
625	6832	4081
626	6846	4073
627	6859	4063
628	6873	4053
629	6886	4044
630	6897	4033
631	6910	4023
632	6922	4013
633	6933	4002
634	6944	3991
635	6954	3980
636	6964	3969
637	6975	3957
638	6986	3946
639	6996	3935
640	7005	3923
641	7016	3912
642	7025	3900
643	7035	3889
644	7046	3878
645	7056	3866
646	7068	3856
647	7077	3844
648	7086	3832
649	7097	3821
650	7106	3809
651	7115	3798
652	7124	3785
653	7134	3774
654	7144	3763
655	7153	3751
656	7163	3739
657	7171	3727
658	7183	3717
659	7193	3705
660	7202	3694
661	7212	3682
662	7221	3670
663	7230	3658
664	7239	3647
665	7250	3636
666	7261	3625
667	7271	3614
668	7282	3603
669	7294	3592
670	7305	3582
671	7320	3572
672	7331	3562
673	7341	3550
674	7350	3539
675	7360	3528
676	7370	3516
677	7379	3504
678	7388	3492
679	7397	3481
680	7407	3469
681	7415	3457
682	7425	3446
683	7435	3435
684	7445	3423
685	7455	3412
686	7464	3400
687	7473	3389
688	7482	3377
689	7491	3365
690	7500	3353
691	7510	3342
692	7518	3330
693	7527	3319
694	7537	3307
695	7546	3296
696	7556	3284
697	7565	3273
698	7575	3262
699	7585	3250
700	7594	3239
701	7602	3227
702	7612	3215
703	7620	3204
704	7631	3193
705	7641	3182
706	7652	3171
707	7663	3160
708	7675	3150
709	7686	3139
710	7697	3128
711	7708	3118
712	7721	3108
713	7733	3097
714	7745	3087
715	7756	3076
716	7768	3066
717	7779	3055
718	7789	3044
719	7799	3032
720	7808	3021
721	7817	3009
722	7827	2998
723	7836	2987
724	7846	2976
725	7856	2964
726	7865	2953
727	7874	2942
728	7884	2930
729	7893	2919
730	7903	2908
731	7912	2896
732	7921	2885
733	7931	2874
734	7942	2863
735	7953	2853
736	7966	2842
737	7979	2832
738	7993	2823
739	8006	2812
740	8020	2803
741	8036	2794
742	8050	2784
743	8065	2775
744	8078	2765
745	8091	2755
746	8103	2744
747	8113	2733
748	8123	2722
749	8132	2710
750	8142	2699
751	8151	2688
752	8160	2676
753	8169	2665
754	8178	2653
755	8187	2642
756	8196	2630
757	8205	2619
758	8216	2608
759	8227	2598
760	8237	2587
761	8246	2575
762	8255	2564
763	8266	2553
764	8277	2542
765	8287	2531
766	8300	2521
767	8311	2510
768	8321	2499
769	8332	2489
770	8342	2477
771	8353	2466
772	8364	2456
773	8376	2445
774	8387	2434
775	8397	2424
776	8407	2413
777	8418	2402
778	8427	2390
779	8436	2379
780	8446	2368
781	8457	2357
782	8468	2346
783	8478	2336
784	8489	2325
785	8501	2314
786	8514	2304
787	8527	2294
788	8537	2283
789	8548	2272
790	8558	2261
791	8569	2250
792	8580	2239
793	8590	2228
794	8600	2217
795	8610	2206
796	8619	2195
797	8628	2184
798	8637	2172
799	8646	2161
800	8655	2150
801	8664	2139
802	8673	2127
803	8682	2116
804	8691	2105
805	8700	2094
806	8709	2082
807	8719	2071
808	8729	2061
809	8738	2049
810	8747	2038
811	8756	2027
812	8767	2016
813	8778	2005
814	8789	1995
815	8800	1984
816	8810	1973
817	8822	1962
818	8833	1952
819	8845	1941
820	8854	1930
821	8865	1919
822	8874	1908
823	8886	1898
824	8897	1887
825	8908	1876
826	8918	1865
827	8927	1854
828	8936	1843
829	8946	1832
830	8955	1821
